symbol,timeframe,fvg_date,hold_date,fvg_zone_low,fvg_zone_high,hold_close,hold_rsi_14,prior_20w_high,target_above_entry,reached_prior_high,weeks_to_prior_high,maximum_8w_move_pct
GRASIM,1W,2017-09-08 00:00:00+00:00,2017-10-27 00:00:00+00:00,1136.93,1152.22,1182.0,65.34507706572019,1233.3,True,True,1.0,9.547377326565144
GRASIM,1W,2017-11-03 00:00:00+00:00,2018-01-05 00:00:00+00:00,1159.39,1185.29,1209.39,60.20816267615586,1271.4,True,False,,3.8631045403054287
GRASIM,1W,2019-03-15 00:00:00+00:00,2019-03-29 00:00:00+00:00,793.74,805.05,854.55,52.41035621559497,888.17,True,True,4.0,9.56409806330818
GRASIM,1W,2020-06-05 00:00:00+00:00,2020-07-31 00:00:00+00:00,536.82,573.27,630.54,52.53171833596379,833.59,True,False,,18.41913280680052
GRASIM,1W,2020-08-28 00:00:00+00:00,2020-09-04 00:00:00+00:00,640.8,655.99,703.7,61.54942575420456,680.3,False,False,,13.8013357965042
GRASIM,1W,2021-03-12 00:00:00+00:00,2021-03-19 00:00:00+00:00,1283.9,1326.28,1405.66,84.95366236255167,1366.27,False,False,,4.517450877168017
GRASIM,1W,2021-09-10 00:00:00+00:00,2021-09-24 00:00:00+00:00,1493.31,1506.01,1623.3,67.68171608920679,1607.81,False,False,,16.1522823877287
GRASIM,1W,2021-11-12 00:00:00+00:00,2022-01-07 00:00:00+00:00,1760.0,1772.45,1790.53,61.118384826710574,1797.85,True,True,1.0,7.351454597242157
GRASIM,1W,2024-07-12 00:00:00+00:00,2024-09-13 00:00:00+00:00,2678.95,2713.85,2784.35,62.732984458114636,2762.7,False,False,,1.7472659687180148
GRASIM,1W,2025-03-28 00:00:00+00:00,2025-04-11 00:00:00+00:00,2438.9,2475.0,2651.25,57.55175948915598,2733.75,True,True,1.0,7.307873644507312
GRASIM,1W,2025-04-18 00:00:00+00:00,2025-05-16 00:00:00+00:00,2664.0,2670.0,2804.2,61.69347833164953,2733.75,False,False,,3.273660937165679
